begin at: Thu May 17 09:09:42 2018
1526537382.807719230652,1526537382.857156515121,0.049437284470
2018-05-23 20:48:51.580437,2018-05-23 20:48:51.583491,0:00:00.003054
2018-05-23 20:48:56.714635,2018-05-23 20:48:56.717527,0:00:00.002892
2018-05-23 20:49:01.814751,2018-05-23 20:49:01.817816,0:00:00.003065
2018-05-23 20:49:06.908668,2018-05-23 20:49:06.913168,0:00:00.004500
2018-05-23 20:49:11.996487,2018-05-23 20:49:12.002028,0:00:00.005541
2018-05-23 20:49:17.079366,2018-05-23 20:49:17.085139,0:00:00.005773
2018-05-23 20:49:22.176752,2018-05-23 20:49:22.182234,0:00:00.005482
2018-05-23 20:49:27.285365,2018-05-23 20:49:27.290407,0:00:00.005042
2018-05-23 20:49:32.413864,2018-05-23 20:49:32.418589,0:00:00.004725
2018-05-23 20:49:37.530146,2018-05-23 20:49:37.530539,0:00:00.000393
2018-05-23 20:49:42.630440,2018-05-23 20:49:42.632226,0:00:00.001786
2018-05-23 20:49:47.728309,2018-05-23 20:49:47.732196,0:00:00.003887
2018-05-23 20:49:52.824495,2018-05-23 20:49:52.830543,0:00:00.006048
2018-05-23 20:49:57.935995,2018-05-23 20:49:57.942582,0:00:00.006587
2018-05-23 20:50:03.034194,2018-05-23 20:50:03.037667,0:00:00.003473
2018-05-23 20:50:08.148683,2018-05-23 20:50:08.149213,0:00:00.000530
2018-05-23 20:50:13.249454,2018-05-23 20:50:13.257058,0:00:00.007604
2018-05-23 20:50:18.572221,2018-05-23 20:50:18.576154,0:00:00.003933
2018-05-23 20:50:23.927380,2018-05-23 20:50:23.937914,0:00:00.010534
2018-05-23 20:50:29.234214,2018-05-23 20:50:29.237171,0:00:00.002957
2018-05-23 20:50:34.565784,2018-05-23 20:50:34.568140,0:00:00.002356
2018-05-23 20:50:39.844499,2018-05-23 20:50:39.847966,0:00:00.003467
2018-05-23 20:50:45.189431,2018-05-23 20:50:45.191908,0:00:00.002477
2018-05-23 20:50:50.522662,2018-05-23 20:50:50.527201,0:00:00.004539
2018-05-23 20:50:55.861743,2018-05-23 20:50:55.862769,0:00:00.001026
2018-05-23 20:51:01.189041,2018-05-23 20:51:01.193947,0:00:00.004906
2018-05-23 20:51:06.516976,2018-05-23 20:51:06.519535,0:00:00.002559
2018-05-23 20:51:11.798250,2018-05-23 20:51:11.801152,0:00:00.002902
2018-05-23 20:51:17.140784,2018-05-23 20:51:17.143131,0:00:00.002347
2018-05-23 20:51:22.442991,2018-05-23 20:51:22.443908,0:00:00.000917
2018-05-23 20:51:27.784967,2018-05-23 20:51:27.787903,0:00:00.002936
2018-05-23 20:51:33.123707,2018-05-23 20:51:33.126269,0:00:00.002562
2018-05-23 20:51:38.450243,2018-05-23 20:51:38.453668,0:00:00.003425
2018-05-23 20:51:43.789541,2018-05-23 20:51:43.793900,0:00:00.004359
2018-05-23 20:51:49.136202,2018-05-23 20:51:49.140138,0:00:00.003936
2018-05-23 20:51:54.474199,2018-05-23 20:51:54.478615,0:00:00.004416
2018-05-23 20:51:59.803455,2018-05-23 20:51:59.806908,0:00:00.003453
2018-05-23 20:52:05.138033,2018-05-23 20:52:05.142557,0:00:00.004524
2018-05-23 20:52:10.477725,2018-05-23 20:52:10.482125,0:00:00.004400
2018-05-23 20:52:15.824699,2018-05-23 20:52:15.826704,0:00:00.002005
2018-05-23 20:52:21.140443,2018-05-23 20:52:21.142479,0:00:00.002036
2018-05-23 20:52:26.475382,2018-05-23 20:52:26.477945,0:00:00.002563
2018-05-23 20:52:31.813643,2018-05-23 20:52:31.817178,0:00:00.003535
2018-05-23 20:52:37.147103,2018-05-23 20:52:37.151160,0:00:00.004057
2018-05-23 20:52:42.482036,2018-05-23 20:52:42.485506,0:00:00.003470
